"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200","iteration_250","iteration_300","iteration_350","iteration_400","iteration_450","iteration_500","iteration_550","iteration_600","iteration_650","iteration_700","iteration_750","iteration_800","iteration_850","iteration_900","iteration_950","iteration_1000","iteration_1050","iteration_1100","iteration_1150","iteration_1200","iteration_1250","iteration_1300","iteration_1350","iteration_1400","iteration_1450","iteration_1500","iteration_1550","iteration_1600","iteration_1650","iteration_1700","iteration_1750","iteration_1800","iteration_1850","iteration_1900","iteration_1950","iteration_2000","iteration_2050","iteration_2100","iteration_2150","iteration_2200","iteration_2250","iteration_2300","iteration_2350","iteration_2400","iteration_2450","iteration_2500","iteration_2550","iteration_2600","iteration_2650","iteration_2700","iteration_2750","iteration_2800","iteration_2850","iteration_2900","iteration_2950","iteration_3000","iteration_3050","iteration_3100","iteration_3150","iteration_3200","iteration_3250","iteration_3300","iteration_3350","iteration_3400","iteration_3450","iteration_3500","iteration_3550","iteration_3600","iteration_3650","iteration_3700","iteration_3750","iteration_3800","iteration_3850","iteration_3900","iteration_3950","iteration_4000","iteration_4050","iteration_4100","iteration_4150","iteration_4200","iteration_4250","iteration_4300","iteration_4350","iteration_4400","iteration_4450","iteration_4500","iteration_4550","iteration_4600","iteration_4650","iteration_4700","iteration_4750","iteration_4800","iteration_4850","iteration_4900","iteration_4950","iteration_5000"
"37023000018",36,36,36,36,11,11,10,29,10,10,25,36,30,8,20,8,1,25,8,25,1,1,1,34,36,8,48,34,34,34,3,3,25,21,8,8,8,17,17,17,38,38,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,38,32,34,31,11,11,11,38,38,36,36,36,11,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
"37023000015",36,36,36,36,11,11,10,11,32,29,29,30,30,3,36,36,25,25,8,25,1,1,1,40,2,2,2,34,34,34,3,3,47,25,8,8,8,8,8,8,8,7,8,8,8,17,39,36,9,17,17,11,32,9,11,11,11,11,11,39,39,34,31,11,11,3,3,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
"37023000014",36,36,36,36,11,11,10,3,3,10,3,30,30,3,36,36,25,25,8,25,1,1,1,40,2,2,2,34,34,34,3,3,47,25,48,17,21,8,8,8,8,8,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,9,9,34,31,11,11,3,3,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
"37023000013",36,36,36,36,11,11,10,11,32,29,29,30,30,3,36,36,25,25,8,25,1,1,1,40,2,2,2,34,34,34,3,3,47,25,8,8,8,8,8,8,8,8,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,9,9,34,31,11,11,3,3,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
"371150SOUTH",1,1,8,8,8,8,36,1,1,10,25,36,30,8,20,8,8,8,25,10,48,8,8,8,8,48,39,36,36,48,48,48,48,48,21,48,36,36,11,11,11,39,11,11,3,3,11,11,11,9,9,9,9,32,36,36,36,36,36,32,38,38,3,3,38,38,11,11,11,11,11,11,11,1,11,11,34,34,34,34,34,34,36,1,1,1,1,1,38,36,36,11,36,36,36,36,36,36,3,3,3
"371070000FC",7,7,7,35,35,22,35,33,18,18,18,22,22,22,50,15,15,12,12,17,22,22,27,29,29,22,22,28,30,28,28,14,14,5,28,26,26,26,26,14,9,26,26,43,43,26,43,43,43,43,33,33,33,43,19,30,50,50,50,50,44,44,44,44,44,44,44,44,33,43,33,44,18,44,43,43,4,44,33,33,33,4,10,10,10,10,43,10,10,10,10,44,21,21,18,18,16,16,16,43,43
"3716100006A",29,29,29,11,36,36,29,29,10,25,25,36,36,36,25,1,1,36,36,36,36,36,36,34,36,8,48,3,3,25,25,25,25,25,8,8,8,17,17,17,38,38,39,38,11,11,3,3,36,36,36,36,36,36,38,38,38,38,38,38,32,32,3,3,3,11,38,38,36,36,36,11,11,1,11,11,34,34,34,34,34,34,36,1,1,1,1,1,38,36,36,11,36,36,36,36,36,36,3,3,3
"3705100AL51",13,13,15,22,46,33,18,16,16,50,33,33,27,16,16,50,50,38,27,27,27,14,14,13,13,14,14,14,5,32,32,5,27,27,16,16,18,44,18,18,18,18,18,42,16,16,16,25,25,2,2,2,25,25,14,14,14,14,25,25,25,25,25,13,25,50,50,50,50,50,41,41,41,25,25,25,30,19,19,19,19,19,19,19,19,19,19,28,19,19,19,19,19,19,19,19,19,19,19,19,28
"3701300OLDF",18,18,23,46,22,22,35,33,18,18,18,41,41,12,41,41,35,35,45,45,45,45,46,18,18,30,29,29,28,30,30,30,18,22,26,14,28,28,28,43,26,45,27,45,45,45,30,12,45,45,45,45,45,45,45,49,30,18,30,30,47,47,21,30,30,30,21,21,49,49,49,49,10,4,29,29,29,29,18,4,4,18,18,18,18,18,18,18,18,18,18,18,49,49,49,30,30,30,30,30,16
"37023000001",36,36,36,36,11,11,10,3,3,10,3,30,30,3,36,36,25,25,8,25,1,1,1,40,2,2,2,34,34,34,3,3,47,21,8,8,8,8,8,8,8,8,17,37,17,17,39,36,9,17,17,11,32,9,11,11,11,11,11,9,9,34,31,11,11,3,3,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,17
