"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"37179000036",11,2,1,3,11
"37179000035",7,2,1,13,1
"370910000HV",4,6,6,8,8
"37179000034",11,2,1,3,11
"37179000033",7,2,1,13,1
"37119000243",10,7,1,13,13
"37119000242",13,9,7,7,4
"37119000241",10,9,7,1,13
"37119000240",13,9,7,7,4
"3714500MTTZ",9,12,8,4,7
"3703900PCHT",1,10,10,10,10
"3712700P21A",5,6,6,8,8
"370210054.2",1,10,10,10,10
"3709700SH-B",12,1,13,9,2
"37147000301",4,6,6,8,8
"3709700SH-A",12,1,13,9,2
"37011000013",1,1,10,10,10
"37011000012",1,10,10,10,10
"37049000016",3,3,6,8,8
"37011000011",1,1,10,10,10
"37011000010",1,10,10,10,10
"37049000011",3,3,6,8,8
"37183001-09",6,4,4,6,3
"37119000232",7,2,1,13,1
"37119000231",7,7,1,13,1
"37183001-07",6,4,11,11,6
"37119000230",10,7,1,13,13
"37183001-06",6,4,11,11,3
"37011000019",1,10,10,10,10
"37183001-05",6,4,11,11,3
"37011000018",1,10,10,10,10
"37183001-04",6,4,4,6,3
"37011000017",1,10,10,10,10
"37183001-03",6,4,4,6,3
"37011000016",1,1,10,10,10
"3713300RL09",3,3,5,5,5
"37011000015",1,1,10,10,10
"37049000019",3,3,5,5,5
"3712700P24A",5,6,6,8,8
"37011000014",1,10,10,10,10
"37119000239",10,9,7,1,13
"37049000017",3,3,6,8,8
"37037000020",8,8,12,12,12
"37119000237",7,9,9,1,13
"37119000236",7,2,1,1,1
"37119000235",7,2,1,1,1
"37119000234",7,2,1,1,1
"37119000233",7,7,1,1,1
"370450RIPPY",10,7,7,13,13
"3715700ED-1",9,12,8,4,7
"37183001-13",6,4,4,6,6
"37037000024",11,11,3,7,4
"37183001-12",6,4,4,6,3
"37183001-11",6,4,4,6,3
"37183001-10",6,4,4,6,3
"37037000021",8,8,12,12,12
"37049000005",3,3,6,8,8
"37049000003",3,3,6,8,8
"37049000002",3,3,5,5,5
"37131CREEKS",4,6,6,8,8
"3712700P23A",5,6,6,8,8
"37125000TLT",2,11,3,7,4
"37049000007",4,3,6,8,8
"3707300004S",4,6,6,8,8
"37183017-09",5,5,11,11,6
"3712900CF06",3,3,5,5,5
"3715500026A",2,11,3,3,11
"37025009-00",11,9,9,7,4
"3712900CF05",3,3,5,5,5
"37177000001",4,6,6,8,8
"370330PROVI",9,12,8,4,7
"37037000015",8,8,12,12,12
"3712900CF02",3,3,5,5,5
"3712900CF01",3,3,5,5,5
"37183017-10",6,5,4,6,3
"37123000LIT",11,2,9,7,4
"37183001-02",6,4,4,6,3
"37183001-01",6,4,4,6,3
"37179000007",7,2,1,13,1
